participant_email,puzzle_id,max_moves,player_moves,time_taken_seconds
*,dataset-115,7,7,18
*,dataset-147,8,9,23
*,dataset-160,9,9,30
*,dataset-186,10,10,14
*,dataset-204,11,11,23
*,dataset-242,12,12,25
*,dataset-263,13,13,34
*,dataset-285,14,20,30
*,dataset-317,15,15,28
*,dataset-344,16,17,20
*,dataset-363,17,34,75
*,dataset-391,18,27,65
*,dataset-400,19,21,87
*,dataset-423,20,23,56
*,dataset-4,2,4,30
*,dataset-25,3,3,4
*,dataset-42,4,4,12
*,dataset-69,5,6,10
*,dataset-85,6,6,9
*,dataset-115,7,7,12
*,dataset-147,8,8,22
*,dataset-160,9,10,22
*,dataset-186,10,11,22
*,dataset-204,11,11,19
*,dataset-242,12,12,25
*,dataset-263,13,13,127
*,dataset-285,14,14,37
*,dataset-317,15,15,37
*,dataset-344,16,17,81
*,dataset-363,17,17,43
*,dataset-391,18,21,83
*,dataset-400,19,24,164
*,dataset-423,20,25,49
*,dataset-4,2,2,50
*,dataset-25,3,4,4
*,dataset-42,4,4,4
*,dataset-69,5,7,7
*,dataset-85,6,12,13
*,dataset-4,2,2,2
*,dataset-25,3,3,2
*,dataset-42,4,5,5
*,dataset-69,5,6,5
*,dataset-85,6,8,8
*,dataset-115,7,8,9
*,dataset-147,8,23,44
*,dataset-160,9,12,14
*,dataset-186,10,12,24
*,dataset-204,11,15,16
*,dataset-242,12,13,18
*,dataset-263,13,15,41
*,dataset-285,14,20,35
*,dataset-317,15,16,24
*,dataset-344,16,17,21
*,dataset-363,17,23,28
*,dataset-391,18,21,50
*,dataset-400,19,39,101
*,dataset-423,20,26,39
*,dataset-4,2,2,6
*,dataset-25,3,3,5
*,dataset-42,4,4,6
*,dataset-69,5,5,7
*,dataset-85,6,7,13
*,dataset-115,7,7,12
*,dataset-147,8,8,13
*,dataset-160,9,10,25
*,dataset-186,10,10,14
*,dataset-204,11,24,30
*,dataset-242,12,39,76
*,dataset-263,13,15,21
*,dataset-285,14,106,211
*,dataset-317,15,25,44
*,dataset-344,16,19,29
*,dataset-363,17,18,31
*,dataset-391,18,35,60
*,dataset-400,19,43,123
*,dataset-423,20,24,36
*,dataset-4,2,2,28
*,dataset-25,3,3,24
*,dataset-42,4,5,56
*,dataset-4,2,2,4
*,dataset-25,3,3,4
*,dataset-42,4,4,5
*,dataset-69,5,6,9
*,dataset-85,6,8,25
*,dataset-115,7,7,10
*,dataset-147,8,12,44
*,dataset-160,9,13,22
*,dataset-186,10,10,13
*,dataset-204,11,13,15
*,dataset-4,2,2,4
*,dataset-25,3,3,4
*,dataset-42,4,6,8
*,dataset-69,5,6,8
*,dataset-85,6,7,10
*,dataset-115,7,7,10
*,dataset-147,8,8,17
*,dataset-160,9,12,20
*,dataset-186,10,10,16
*,dataset-204,11,11,15
*,dataset-242,12,13,29
*,dataset-263,13,13,13
*,dataset-285,14,15,27
*,dataset-317,15,17,33
*,dataset-344,16,16,24
*,dataset-363,17,22,34
*,dataset-391,18,34,69
*,dataset-400,19,21,85
*,dataset-423,20,22,41
*,dataset-4,2,2,18
*,dataset-25,3,3,10
*,dataset-42,4,4,7
*,dataset-69,5,5,13
*,dataset-85,6,6,8
*,dataset-115,7,8,10
*,dataset-147,8,9,22
*,dataset-160,9,11,17
*,dataset-186,10,10,11
*,dataset-204,11,11,18
*,dataset-242,12,14,33
*,dataset-263,13,15,25
*,dataset-285,14,25,35
*,dataset-317,15,22,39
*,dataset-344,16,21,21
*,dataset-363,17,19,20
*,dataset-391,18,42,59
*,dataset-400,19,47,59
*,dataset-423,20,45,61
